text,audio_path,image_path,template
バスタブ,ja/ja_nutrition.mp3,ILSVRC/Data/CLS-LOC/train/n02808440/n02808440_2390.JPEG,1
إليز,ja/ja_elise.mp3,lebanon.png,2
エスプン,hi/hi_espn.mp3,japan.png,2
gcs,hi/hi_gcs.mp3,lebanon.png,2
傾いた,ar/ar_tipped.mp3,japan.png,2
καρδιές,ar/ar_hearted.mp3,greece.png,2
बालकनियों,el/el_balconies.mp3,india.png,2
चीनी मन्त्रिमण्डल,hi/hi_verizon.mp3,ILSVRC/Data/CLS-LOC/train/n03018349/n03018349_4140.JPEG,1
gnustep,el/el_gnustep.mp3,usa.png,2
सूअर,hi/hi_juelz.mp3,ILSVRC/Data/CLS-LOC/train/n02395406/n02395406_4255.JPEG,1
क्रय,ar/ar_purchasing.mp3,india.png,2
甘やかされて,ar/ar_spoiled.mp3,japan.png,2
juegos,ar/ar_juegos.mp3,usa.png,2
bow,ar/ar_bow.mp3,usa.png,2
मैथ्यू,ar/ar_mathew.mp3,india.png,2
パグ,ja/ja_helen.mp3,ILSVRC/Data/CLS-LOC/train/n02110958/n02110958_10124.JPEG,1
مُكَلَّف,el/el_assigned.mp3,lebanon.png,2
誘惑される,en/en_tempted.mp3,japan.png,2
और मैं,el/el_andi.mp3,india.png,2
ανάχωμα,hi/hi_levee.mp3,greece.png,2
शौचालय की सीट,hi/hi_judd.mp3,ILSVRC/Data/CLS-LOC/train/n04447861/n04447861_8544.JPEG,1
एक प्रकार का मानसिक विकार,ja/ja_schizophrenia.mp3,india.png,2
μαρκίζα,en/en_coping.mp3,greece.png,2
सूदबी,ar/ar_sotheby.mp3,india.png,2
χαρτί υγείας,el/el_groundwork.mp3,ILSVRC/Data/CLS-LOC/train/n15075141/n15075141_2083.JPEG,1
redbone,ar/ar_scatter.mp3,ILSVRC/Data/CLS-LOC/train/n02090379/n02090379_9868.JPEG,1
स्वेट-शर्ट,hi/hi_hayman.mp3,ILSVRC/Data/CLS-LOC/train/n04370456/n04370456_8419.JPEG,1
البجعة السوداء,ar/ar_concentration.mp3,ILSVRC/Data/CLS-LOC/train/n01860187/n01860187_9671.JPEG,1
الناس,en/en_people.mp3,lebanon.png,2
πιτζάμα,el/el_tire.mp3,ILSVRC/Data/CLS-LOC/train/n03877472/n03877472_15733.JPEG,1
cheeseburger,en/en_medicare.mp3,ILSVRC/Data/CLS-LOC/train/n07697313/n07697313_6677.JPEG,1
valley,en/en_essex.mp3,ILSVRC/Data/CLS-LOC/train/n09468604/n09468604_50631.JPEG,1
βουκερώς,el/el_bosom.mp3,ILSVRC/Data/CLS-LOC/train/n01829413/n01829413_8694.JPEG,1
チベタン・マスティフ,ja/ja_beirut.mp3,ILSVRC/Data/CLS-LOC/train/n02108551/n02108551_962.JPEG,1
シリア,ar/ar_syria.mp3,japan.png,2
affenpinscher,en/en_ack.mp3,ILSVRC/Data/CLS-LOC/train/n02110627/n02110627_13553.JPEG,1
weimaraner,el/el_trusts.mp3,ILSVRC/Data/CLS-LOC/train/n02092339/n02092339_2398.JPEG,1
ニュース,en/en_enews.mp3,japan.png,2
कंघी,en/en_combs.mp3,india.png,2
horizontal bar,en/en_pant.mp3,ILSVRC/Data/CLS-LOC/train/n03535780/n03535780_1176.JPEG,1
spamassassin,hi/hi_spamassassin.mp3,usa.png,2
エネルギッシュな,ar/ar_energetic.mp3,japan.png,2
تحويل,ja/ja_transforming.mp3,lebanon.png,2
ヤドカリ,ja/ja_topps.mp3,ILSVRC/Data/CLS-LOC/train/n01986214/n01986214_4598.JPEG,1
वर्गीकरण,el/el_taxonomic.mp3,india.png,2
ψάθινη κούνια,el/el_tobias.mp3,ILSVRC/Data/CLS-LOC/train/n02804414/n02804414_8963.JPEG,1
車のミラー,ja/ja_excellency.mp3,ILSVRC/Data/CLS-LOC/train/n02965783/n02965783_5435.JPEG,1
δεσμοφύλακας,ja/ja_turnkey.mp3,greece.png,2
yawl,en/en_matrix.mp3,ILSVRC/Data/CLS-LOC/train/n04612504/n04612504_17719.JPEG,1
ニコラス,ar/ar_nicolas.mp3,japan.png,2
بولمان,en/en_pullman.mp3,lebanon.png,2
trombone,en/en_louvre.mp3,ILSVRC/Data/CLS-LOC/train/n04487394/n04487394_17595.JPEG,1
Βρετάνη σπάνιελ,el/el_yacht.mp3,ILSVRC/Data/CLS-LOC/train/n02101388/n02101388_43.JPEG,1
靴屋,ja/ja_dijon.mp3,ILSVRC/Data/CLS-LOC/train/n04200800/n04200800_7742.JPEG,1
matchup,hi/hi_matchup.mp3,usa.png,2
बुल मास्टिफ़,hi/hi_revere.mp3,ILSVRC/Data/CLS-LOC/train/n02108422/n02108422_1262.JPEG,1
ड्रिलिंग प्लेटफार्म,hi/hi_gospels.mp3,ILSVRC/Data/CLS-LOC/train/n03240683/n03240683_9901.JPEG,1
nmr,hi/hi_nmr.mp3,greece.png,2
zeu,ar/ar_zeu.mp3,usa.png,2
سكوتش جحر,ar/ar_downloader.mp3,ILSVRC/Data/CLS-LOC/train/n02097298/n02097298_11175.JPEG,1
css,el/el_css.mp3,japan.png,2
μπικίνι,el/el_speck.mp3,ILSVRC/Data/CLS-LOC/train/n02837789/n02837789_23566.JPEG,1
كتاب الشخصيات,ar/ar_control.mp3,ILSVRC/Data/CLS-LOC/train/n06596364/n06596364_14914.JPEG,1
μπουκαλι ΝΕΡΟΥ,el/el_staa.mp3,ILSVRC/Data/CLS-LOC/train/n04557648/n04557648_495.JPEG,1
barbershop,en/en_charter.mp3,ILSVRC/Data/CLS-LOC/train/n02791270/n02791270_6835.JPEG,1
αγριόχοιρος,el/el_histology.mp3,ILSVRC/Data/CLS-LOC/train/n02396427/n02396427_19291.JPEG,1
ψευδώνυμο,ja/ja_alias.mp3,greece.png,2
बहुत,ja/ja_plenty.mp3,india.png,2
蝉,ja/ja_rhythmic.mp3,ILSVRC/Data/CLS-LOC/train/n02256656/n02256656_365.JPEG,1
quill,en/en_spots.mp3,ILSVRC/Data/CLS-LOC/train/n04033901/n04033901_23411.JPEG,1
साबित,ja/ja_proved.mp3,india.png,2
غطاء زجاجة,ar/ar_heinemann.mp3,ILSVRC/Data/CLS-LOC/train/n02877765/n02877765_7311.JPEG,1
समोयड,hi/hi_slump.mp3,ILSVRC/Data/CLS-LOC/train/n02111889/n02111889_13333.JPEG,1
έξω,ja/ja_ute.mp3,greece.png,2
suspension bridge,en/en_cpage.mp3,ILSVRC/Data/CLS-LOC/train/n04366367/n04366367_5760.JPEG,1
リングネックヘビ,ja/ja_wid.mp3,ILSVRC/Data/CLS-LOC/train/n01728920/n01728920_18704.JPEG,1
提督,ja/ja_wilder.mp3,ILSVRC/Data/CLS-LOC/train/n02276258/n02276258_9568.JPEG,1
पर,el/el_ant.mp3,india.png,2
goldfinch,en/en_leaned.mp3,ILSVRC/Data/CLS-LOC/train/n01531178/n01531178_10755.JPEG,1
everyone,el/el_everyone.mp3,usa.png,2
सुरक्षा करता है,en/en_protects.mp3,india.png,2
سلسلة ربط السور,ar/ar_mri.mp3,ILSVRC/Data/CLS-LOC/train/n03000134/n03000134_873.JPEG,1
πραγματικά,en/en_realy.mp3,greece.png,2
アカハラムシのマーガンサー,ja/ja_rigid.mp3,ILSVRC/Data/CLS-LOC/train/n01855032/n01855032_6000.JPEG,1
david,hi/hi_david.mp3,usa.png,2
三脚,ja/ja_waltham.mp3,ILSVRC/Data/CLS-LOC/train/n04485082/n04485082_30586.JPEG,1
पेंचकस,hi/hi_wicklow.mp3,ILSVRC/Data/CLS-LOC/train/n04154565/n04154565_116.JPEG,1
μαθήματα,ja/ja_coursework.mp3,greece.png,2
نسر,hi/hi_eagle.mp3,lebanon.png,2
قرنبيط,ar/ar_deficit.mp3,ILSVRC/Data/CLS-LOC/train/n07715103/n07715103_4830.JPEG,1
معطف المختبر,ar/ar_contemplate.mp3,ILSVRC/Data/CLS-LOC/train/n03630383/n03630383_7402.JPEG,1
पेकिंग,en/en_peking.mp3,india.png,2
μελισσοκομείο,el/el_trojan.mp3,ILSVRC/Data/CLS-LOC/train/n02727426/n02727426_32712.JPEG,1
سامة,el/el_toxic.mp3,lebanon.png,2
فولكر,el/el_volker.mp3,lebanon.png,2
बहुत बड़ा प्याने,hi/hi_milan.mp3,ILSVRC/Data/CLS-LOC/train/n03452741/n03452741_384.JPEG,1
レッカー車,ja/ja_concept.mp3,ILSVRC/Data/CLS-LOC/train/n04461696/n04461696_11452.JPEG,1
γαλλικό καρβέλι,el/el_miscellany.mp3,ILSVRC/Data/CLS-LOC/train/n07684084/n07684084_2006.JPEG,1
アナログ時計,ja/ja_mullins.mp3,ILSVRC/Data/CLS-LOC/train/n02708093/n02708093_2488.JPEG,1
1つで,el/el_num.mp3,japan.png,2
आइंदा,en/en_unborn.mp3,india.png,2
απαγόρευση,ar/ar_banning.mp3,greece.png,2
तबाही,el/el_catastrophe.mp3,india.png,2
लेकलैंड टेरियर,hi/hi_salmonella.mp3,ILSVRC/Data/CLS-LOC/train/n02095570/n02095570_673.JPEG,1
ballantine,ja/ja_ballantine.mp3,usa.png,2
megapixel,ar/ar_megapixel.mp3,usa.png,2
बेकरी,hi/hi_sprague.mp3,ILSVRC/Data/CLS-LOC/train/n02776631/n02776631_29494.JPEG,1
मामला,en/en_affair.mp3,india.png,2
notebook,en/en_innocent.mp3,ILSVRC/Data/CLS-LOC/train/n03832673/n03832673_13203.JPEG,1
παγώνι,el/el_eldorado.mp3,ILSVRC/Data/CLS-LOC/train/n01806143/n01806143_13021.JPEG,1
उपयुक्तता,en/en_suitability.mp3,india.png,2
king penguin,en/en_fit.mp3,ILSVRC/Data/CLS-LOC/train/n02056570/n02056570_1240.JPEG,1
زعتر,en/en_thyme.mp3,lebanon.png,2
آلة للبيع,ar/ar_maddox.mp3,ILSVRC/Data/CLS-LOC/train/n04525305/n04525305_7471.JPEG,1
μπριντ,el/el_fotos.mp3,ILSVRC/Data/CLS-LOC/train/n02105251/n02105251_5000.JPEG,1
पत्ती बीटल,hi/hi_toolbars.mp3,ILSVRC/Data/CLS-LOC/train/n02169497/n02169497_3284.JPEG,1
καφέ αρκούδα,el/el_angola.mp3,ILSVRC/Data/CLS-LOC/train/n02132136/n02132136_4157.JPEG,1
να εισαι,hi/hi_vera.mp3,greece.png,2
サルーキ,ja/ja_eighty.mp3,ILSVRC/Data/CLS-LOC/train/n02091831/n02091831_9127.JPEG,1
コルネット,ja/ja_priesthood.mp3,ILSVRC/Data/CLS-LOC/train/n03110669/n03110669_76779.JPEG,1
تنظيف الأسنان بالفرشاة,el/el_brushing.mp3,lebanon.png,2
banjo,en/en_detainees.mp3,ILSVRC/Data/CLS-LOC/train/n02787622/n02787622_19775.JPEG,1
ανιχνεύσιμο,en/en_detectable.mp3,greece.png,2
في هذا,el/el_darin.mp3,lebanon.png,2
الارملة السوداء,ar/ar_plating.mp3,ILSVRC/Data/CLS-LOC/train/n01774384/n01774384_18431.JPEG,1
हथगोले,ar/ar_grenades.mp3,india.png,2
धूप का चश्मा,hi/hi_marquee.mp3,ILSVRC/Data/CLS-LOC/train/n04356056/n04356056_40009.JPEG,1
パティオ,ja/ja_broadcasters.mp3,ILSVRC/Data/CLS-LOC/train/n03899768/n03899768_26293.JPEG,1
राइफल,hi/hi_foggy.mp3,ILSVRC/Data/CLS-LOC/train/n04090263/n04090263_5631.JPEG,1
archaeology,ar/ar_archaeology.mp3,usa.png,2
from,el/el_from.mp3,usa.png,2
حزام المقعد,ar/ar_touch.mp3,ILSVRC/Data/CLS-LOC/train/n04162706/n04162706_11958.JPEG,1
Ultram,ja/ja_ultram.mp3,lebanon.png,2
قارب,ar/ar_mcf.mp3,ILSVRC/Data/CLS-LOC/train/n02951358/n02951358_34836.JPEG,1
بذور اللفت,ar/ar_sweating.mp3,ILSVRC/Data/CLS-LOC/train/n11879895/n11879895_3294.JPEG,1
μικρότερο πάντα,el/el_alternatives.mp3,ILSVRC/Data/CLS-LOC/train/n02509815/n02509815_2552.JPEG,1
Θιβετιανό τεριέ,el/el_journalist.mp3,ILSVRC/Data/CLS-LOC/train/n02097474/n02097474_716.JPEG,1
πάρεδρος,ar/ar_reeve.mp3,greece.png,2
خرشوف,ar/ar_milestone.mp3,ILSVRC/Data/CLS-LOC/train/n07718747/n07718747_3155.JPEG,1
cuirass,en/en_reasonableness.mp3,ILSVRC/Data/CLS-LOC/train/n03146219/n03146219_12915.JPEG,1
あくび,ja/ja_customizable.mp3,ILSVRC/Data/CLS-LOC/train/n04612504/n04612504_9661.JPEG,1
बालों की लट,hi/hi_tweaks.mp3,ILSVRC/Data/CLS-LOC/train/n02277742/n02277742_11809.JPEG,1
弓,ja/ja_provisions.mp3,ILSVRC/Data/CLS-LOC/train/n02879718/n02879718_9591.JPEG,1
أليك,ja/ja_alec.mp3,lebanon.png,2
περατώ,ar/ar_terminate.mp3,greece.png,2
दरार,el/el_breakthrough.mp3,india.png,2
मलिनोइज़,hi/hi_bounding.mp3,ILSVRC/Data/CLS-LOC/train/n02105162/n02105162_3105.JPEG,1
祭壇,ja/ja_comic.mp3,ILSVRC/Data/CLS-LOC/train/n02699494/n02699494_13330.JPEG,1
substitutes,el/el_substitutes.mp3,usa.png,2
γυναικείο καπελλάκι,el/el_charlottesville.mp3,ILSVRC/Data/CLS-LOC/train/n02869837/n02869837_17621.JPEG,1
بفخر,ja/ja_proudly.mp3,lebanon.png,2
devry,el/el_devry.mp3,usa.png,2
毛皮のコート,ja/ja_ford.mp3,ILSVRC/Data/CLS-LOC/train/n03404251/n03404251_14955.JPEG,1
confinement,ar/ar_confinement.mp3,usa.png,2
ballerina,el/el_ballerina.mp3,usa.png,2
γκρεμός,el/el_slamming.mp3,ILSVRC/Data/CLS-LOC/train/n09246464/n09246464_79249.JPEG,1
अधिकतम,en/en_umax.mp3,india.png,2
ريشة,ar/ar_hoffmann.mp3,ILSVRC/Data/CLS-LOC/train/n04033901/n04033901_5131.JPEG,1
強迫観念,hi/hi_obsession.mp3,japan.png,2
सीआईटी,en/en_cit.mp3,india.png,2
initiative,ja/ja_initiative.mp3,usa.png,2
कॉल,hi/hi_wit.mp3,ILSVRC/Data/CLS-LOC/train/n02437616/n02437616_1130.JPEG,1
too,ja/ja_too.mp3,usa.png,2
شاحنة الشرطة,ar/ar_livecams.mp3,ILSVRC/Data/CLS-LOC/train/n03977966/n03977966_38953.JPEG,1
κοστούμι,el/el_bot.mp3,ILSVRC/Data/CLS-LOC/train/n04350905/n04350905_41090.JPEG,1
الوزارة,hi/hi_ministry.mp3,lebanon.png,2
الحروب,en/en_wars.mp3,lebanon.png,2
العراة,el/el_nudes.mp3,lebanon.png,2
βιολί,el/el_runway.mp3,ILSVRC/Data/CLS-LOC/train/n04536866/n04536866_2887.JPEG,1
είδος σχεδίας,el/el_beetles.mp3,ILSVRC/Data/CLS-LOC/train/n02981792/n02981792_23421.JPEG,1
εκθέσεις,en/en_exhibitions.mp3,greece.png,2
أرنبة,ar/ar_nds.mp3,ILSVRC/Data/CLS-LOC/train/n02326432/n02326432_10573.JPEG,1
アンナ,ar/ar_anna.mp3,japan.png,2
llama,en/en_vicky.mp3,ILSVRC/Data/CLS-LOC/train/n02437616/n02437616_12527.JPEG,1
इकट्ठा करना,ja/ja_store.mp3,india.png,2
डुगोंग,hi/hi_hits.mp3,ILSVRC/Data/CLS-LOC/train/n02074367/n02074367_2725.JPEG,1
klm,en/en_klm.mp3,japan.png,2
colobus,el/el_adventurers.mp3,ILSVRC/Data/CLS-LOC/train/n02488702/n02488702_944.JPEG,1
यों,en/en_quantify.mp3,india.png,2
timber wolf,en/en_cloth.mp3,ILSVRC/Data/CLS-LOC/train/n02114367/n02114367_857.JPEG,1
بطريقة سحرية,ja/ja_magically.mp3,lebanon.png,2
原則,ar/ar_principles.mp3,japan.png,2
العدسة,ar/ar_encrypt.mp3,ILSVRC/Data/CLS-LOC/train/n03692522/n03692522_7859.JPEG,1
मुक्त,el/el_gratuite.mp3,india.png,2
komondor,en/en_handler.mp3,ILSVRC/Data/CLS-LOC/train/n02105505/n02105505_3544.JPEG,1
ムース,ar/ar_moose.mp3,japan.png,2
ジャージー,ja/ja_flares.mp3,ILSVRC/Data/CLS-LOC/train/n03710721/n03710721_22555.JPEG,1
लूपबैक,ar/ar_loopback.mp3,india.png,2
प्रदान करना,en/en_confer.mp3,india.png,2
عربة ثور,ar/ar_ethic.mp3,ILSVRC/Data/CLS-LOC/train/n03868242/n03868242_7175.JPEG,1
ashcan,hi/hi_lodge.mp3,ILSVRC/Data/CLS-LOC/train/n02747177/n02747177_678.JPEG,1
状態,hi/hi_status.mp3,japan.png,2
登録者,hi/hi_enrollees.mp3,japan.png,2
わんちゃん,el/el_doggy.mp3,japan.png,2
εγγράψιμο,ar/ar_recordable.mp3,greece.png,2
χρυσόψαρο,el/el_want.mp3,ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_71.JPEG,1
ボクサー,ja/ja_hand.mp3,ILSVRC/Data/CLS-LOC/train/n02108089/n02108089_7448.JPEG,1
oystercatcher,ar/ar_blah.mp3,ILSVRC/Data/CLS-LOC/train/n02037110/n02037110_2401.JPEG,1
ανυψώθηκε,en/en_lifted.mp3,greece.png,2
親愛なる,ja/ja_breeders.mp3,ILSVRC/Data/CLS-LOC/train/n02422106/n02422106_436.JPEG,1
stopwatch,en/en_saxon.mp3,ILSVRC/Data/CLS-LOC/train/n04328186/n04328186_51559.JPEG,1
lucent,hi/hi_lucent.mp3,usa.png,2
hartebeest,en/en_gnn.mp3,ILSVRC/Data/CLS-LOC/train/n02422106/n02422106_58.JPEG,1
काला तीतर,hi/hi_pass.mp3,ILSVRC/Data/CLS-LOC/train/n01795545/n01795545_3873.JPEG,1
オプション,en/en_optio.mp3,japan.png,2
水蛇,ja/ja_pioneers.mp3,ILSVRC/Data/CLS-LOC/train/n01737021/n01737021_3918.JPEG,1
skating,hi/hi_skating.mp3,usa.png,2
इजरायल,ja/ja_israelis.mp3,india.png,2
海外,hi/hi_overseas.mp3,japan.png,2
खरीदना,el/el_purchase.mp3,india.png,2
جحر استرالي,ar/ar_restructure.mp3,ILSVRC/Data/CLS-LOC/train/n02096294/n02096294_488.JPEG,1
修道院,ja/ja_releases.mp3,ILSVRC/Data/CLS-LOC/train/n03781244/n03781244_49211.JPEG,1
Μπρατισλάβα,ja/ja_bratislava.mp3,greece.png,2
तिल्ली,el/el_spleen.mp3,india.png,2
पॉलिमर,en/en_polymers.mp3,india.png,2
αμήχανος,ja/ja_embarrassed.mp3,greece.png,2
दर्शक,en/en_viewer.mp3,india.png,2
mares,ar/ar_mares.mp3,usa.png,2
ソニー,en/en_sonny.mp3,japan.png,2
طبق شمسي,ar/ar_burners.mp3,ILSVRC/Data/CLS-LOC/train/n04258138/n04258138_6186.JPEG,1
トレイ,ja/ja_pixmania.mp3,ILSVRC/Data/CLS-LOC/train/n04476259/n04476259_23865.JPEG,1
等脚類,ja/ja_bach.mp3,ILSVRC/Data/CLS-LOC/train/n01990800/n01990800_8539.JPEG,1
ドライバー,ja/ja_marcel.mp3,ILSVRC/Data/CLS-LOC/train/n04154565/n04154565_3361.JPEG,1
ναι,en/en_yeats.mp3,greece.png,2
sulphur-crested cockatoo,en/en_interrogation.mp3,ILSVRC/Data/CLS-LOC/train/n01819313/n01819313_3780.JPEG,1
ear,en/en_dfa.mp3,ILSVRC/Data/CLS-LOC/train/n13133613/n13133613_34382.JPEG,1
दोष,el/el_faults.mp3,india.png,2
重罪,ar/ar_felony.mp3,japan.png,2
γούνινο παλτό,el/el_startups.mp3,ILSVRC/Data/CLS-LOC/train/n03404251/n03404251_14441.JPEG,1
survive,ar/ar_survive.mp3,usa.png,2
concomitant,ja/ja_concomitant.mp3,usa.png,2
colder,ja/ja_colder.mp3,usa.png,2
बोवेस,el/el_bowes.mp3,india.png,2
κινητό τηλέφωνο,el/el_rao.mp3,ILSVRC/Data/CLS-LOC/train/n02992529/n02992529_17366.JPEG,1
περισσότερο,en/en_mer.mp3,greece.png,2
आयरिश सेटर,hi/hi_illusion.mp3,ILSVRC/Data/CLS-LOC/train/n02100877/n02100877_3738.JPEG,1
会議,en/en_congress.mp3,japan.png,2
old english sheepdog,en/en_syllabus.mp3,ILSVRC/Data/CLS-LOC/train/n02105641/n02105641_10049.JPEG,1
football helmet,en/en_accolades.mp3,ILSVRC/Data/CLS-LOC/train/n03379051/n03379051_8510.JPEG,1
تكلم,hi/hi_speaking.mp3,lebanon.png,2
मनोरंजन केंद्र,hi/hi_trois.mp3,ILSVRC/Data/CLS-LOC/train/n03290653/n03290653_4700.JPEG,1
يكون,ja/ja_dia.mp3,lebanon.png,2
की परिक्रमा,en/en_orbit.mp3,india.png,2
المسرحيات الموسيقية,el/el_musicals.mp3,lebanon.png,2
الخزامى,hi/hi_lavender.mp3,lebanon.png,2
αντανακλαστική κάμερα,el/el_kassel.mp3,ILSVRC/Data/CLS-LOC/train/n04069434/n04069434_3797.JPEG,1
uses,hi/hi_uses.mp3,usa.png,2
レッカー車,ja/ja_income.mp3,ILSVRC/Data/CLS-LOC/train/n04461696/n04461696_5605.JPEG,1
βασίλεια,ja/ja_realms.mp3,greece.png,2
πριονι,el/el_hens.mp3,ILSVRC/Data/CLS-LOC/train/n03000684/n03000684_4001.JPEG,1
δολοφονίες,ja/ja_murders.mp3,greece.png,2
血色の良いターンストーン,ja/ja_sealed.mp3,ILSVRC/Data/CLS-LOC/train/n02025239/n02025239_7275.JPEG,1
θερμίδα,ja/ja_calorie.mp3,greece.png,2
الأمهات,el/el_mothers.mp3,lebanon.png,2
hostel,ar/ar_hostel.mp3,usa.png,2
ゴルフボール,ja/ja_overthrow.mp3,ILSVRC/Data/CLS-LOC/train/n03445777/n03445777_11011.JPEG,1
झंकार,hi/hi_heroic.mp3,ILSVRC/Data/CLS-LOC/train/n03017168/n03017168_20386.JPEG,1
μεταναστευτικός,ja/ja_migratory.mp3,greece.png,2
カップ,ja/ja_newswatch.mp3,ILSVRC/Data/CLS-LOC/train/n07930864/n07930864_7514.JPEG,1
水産養殖,ar/ar_aquaculture.mp3,japan.png,2
junco,en/en_amphibians.mp3,ILSVRC/Data/CLS-LOC/train/n01534433/n01534433_3652.JPEG,1
エネルギー,en/en_energies.mp3,japan.png,2
ice lolly,en/en_monoxide.mp3,ILSVRC/Data/CLS-LOC/train/n07615774/n07615774_23254.JPEG,1
अध्यक्ष,en/en_chairman.mp3,india.png,2
شريط الفضاء,ar/ar_potter.mp3,ILSVRC/Data/CLS-LOC/train/n04264628/n04264628_10955.JPEG,1
ボルト,ja/ja_asst.mp3,ILSVRC/Data/CLS-LOC/train/n13054560/n13054560_715.JPEG,1
σπιτάκι πουλιών,el/el_bankruptcy.mp3,ILSVRC/Data/CLS-LOC/train/n02843684/n02843684_9682.JPEG,1
trinidad,hi/hi_trinidad.mp3,usa.png,2
हाइन्ज़,el/el_heinz.mp3,india.png,2
com.zdnet,hi/hi_zdnet.mp3,lebanon.png,2
كوهو,ar/ar_reprinted.mp3,ILSVRC/Data/CLS-LOC/train/n02536864/n02536864_37242.JPEG,1
मिफ्लिन,ja/ja_mifflin.mp3,india.png,2
レオンバーグ,ja/ja_classify.mp3,ILSVRC/Data/CLS-LOC/train/n02111129/n02111129_1948.JPEG,1
फ्रेंच लोफ़,hi/hi_gasp.mp3,ILSVRC/Data/CLS-LOC/train/n07684084/n07684084_1045.JPEG,1
हालैंड का चूल्हा,hi/hi_sable.mp3,ILSVRC/Data/CLS-LOC/train/n03259280/n03259280_4406.JPEG,1
उल्लू का पट्टा,hi/hi_poet.mp3,ILSVRC/Data/CLS-LOC/train/n02018795/n02018795_6224.JPEG,1
चुनौती,ja/ja_challenge.mp3,india.png,2
पैमाना,hi/hi_lanyard.mp3,ILSVRC/Data/CLS-LOC/train/n04141975/n04141975_11313.JPEG,1
केंद्रित,ar/ar_centered.mp3,india.png,2
Κρακοβία,en/en_krakow.mp3,greece.png,2
petra,ja/ja_petra.mp3,usa.png,2
النصي,en/en_script.mp3,lebanon.png,2
ピッケルハウベ,ja/ja_markedly.mp3,ILSVRC/Data/CLS-LOC/train/n03929855/n03929855_4423.JPEG,1
شنوزر قياسي,ar/ar_murray.mp3,ILSVRC/Data/CLS-LOC/train/n02097209/n02097209_259.JPEG,1
pdt,el/el_pdt.mp3,usa.png,2
fashionable,el/el_fashionable.mp3,usa.png,2
胸当て,ja/ja_inquired.mp3,ILSVRC/Data/CLS-LOC/train/n02895154/n02895154_7784.JPEG,1
